state,month,year,dem_percentage,gop_percentage,winner,margin
GA,Oct,2020,48.0,49.0,R,1.0
GA,Oct,2020,49.0,46.0,D,3.0
GA,Oct,2020,47.0,48.0,R,1.0
GA,Oct,2020,48.0,46.0,D,2.0
GA,Oct,2020,50.0,48.0,D,2.0
GA,Oct,2020,50.0,45.0,D,5.0
GA,Oct,2020,50.0,46.0,D,4.0
GA,Oct,2020,50.0,48.0,D,2.0
GA,Oct,2020,51.0,48.0,D,3.0
GA,Oct,2020,51.0,46.0,D,5.0
GA,Oct,2020,47.0,49.0,R,2.0
GA,Oct,2020,49.0,49.0,E,0.0
GA,Oct,2020,47.0,46.0,D,1.0
GA,Oct,2020,45.0,49.0,R,4.0
GA,Oct,2020,48.0,44.0,D,4.0
GA,Oct,2020,48.0,48.0,E,0.0
GA,Oct,2020,47.0,48.0,R,1.0
GA,Oct,2020,45.0,45.0,E,0.0
GA,Oct,2020,49.0,46.0,D,3.0
GA,Oct,2020,51.0,44.0,D,7.0
GA,Oct,2020,51.0,44.0,D,7.0
GA,Oct,2020,48.0,46.0,D,2.0
GA,Oct,2020,46.0,46.0,E,0.0
GA,Oct,2020,47.0,49.0,R,2.0
GA,Oct,2020,47.0,46.0,D,1.0
GA,Oct,2020,46.8,48.6,R,1.8000000000000043
GA,Oct,2020,48.0,47.0,D,1.0
GA,Oct,2020,46.0,47.0,R,1.0
GA,Sep,2020,47.0,45.0,D,2.0
GA,Sep,2020,49.0,48.0,D,1.0
GA,Sep,2020,50.0,47.0,D,3.0
GA,Sep,2020,50.0,47.0,D,3.0
GA,Sep,2020,50.0,47.0,D,3.0
GA,Sep,2020,45.0,44.0,D,1.0
GA,Sep,2020,46.0,47.0,R,1.0
GA,Sep,2020,46.0,47.0,R,1.0
GA,Sep,2020,46.0,48.0,R,2.0
GA,Sep,2020,45.0,50.0,R,5.0
GA,Sep,2020,45.0,45.0,E,0.0
GA,Sep,2020,47.0,47.0,E,0.0
GA,Sep,2020,45.0,45.0,E,0.0
GA,Sep,2020,46.0,46.0,E,0.0
GA,Sep,2020,49.0,46.0,D,3.0
GA,Sep,2020,45.0,46.0,R,1.0
